"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401540388","Northern Iowa","27","North Dakota State","48","ESPN Bet","50.5","8.5","North Dakota State -8.5","","","",""
"401540250","Idaho","63","Idaho State","21","ESPN Bet","60.5","-22","Idaho -22","","","",""
"401540234","Cal Poly","21","Weber State","48","ESPN Bet","53.5","16.5","Weber State -16.5","","","",""
"401540147","Florida A&M","24","Bethune-Cookman","7","ESPN Bet","44.5","16.5","Bethune-Cookman -16.5","","","",""
"401540243","Eastern Washington","42","Northern Arizona","49","ESPN Bet","64.5","-3.5","Eastern Washington -3.5","","","",""
"401540230","Montana State","59","Cal Poly","19","William Hill (New Jersey)","60.5","-39","Montana State -39","","","",""
"401540289","Weber State","16","UC Davis","17","William Hill (New Jersey)","46.5","2","UC Davis -2","","","",""
"401520338","Iowa","10","Minnesota","12","William Hill (New Jersey)","30.5","-3.5","Iowa -3.5","","","",""
"401520338","Iowa","10","Minnesota","12","DraftKings","30.5","-3.5","Iowa -3.5","-5.5","32.5","-166","140"
"401520338","Iowa","10","Minnesota","12","Bovada","30.5","-3.0","Iowa -3.0","-4.0","32.0","-175","150"
"401525528","Georgia Tech","23","Boston College","38","William Hill (New Jersey)","57","-6","Georgia Tech -6","","","",""
"401525528","Georgia Tech","23","Boston College","38","Bovada","57.0","-6.0","Georgia Tech -6.0","-4.0","58.0","-235","195"
"401525528","Georgia Tech","23","Boston College","38","DraftKings","57","-5.5","Georgia Tech -5.5","-5","57.5","-225","185"
"401525893","BYU","24","Oklahoma","31","DraftKings","57","24","Oklahoma -24","24","57","1200","-2400"
"401525893","BYU","24","Oklahoma","31","Bovada","58.5","24.5","Oklahoma -24.5","24.0","57.5","1100","-3300"
"401525893","BYU","24","Oklahoma","31","ESPN Bet","58.5","24.5","Oklahoma -24.5","","","",""
"401540537","Tennessee State","0","Tennessee Tech","28","ESPN Bet","40.5","-8","Tennessee State -8","","","",""
"401524062","USC","20","UCLA","38","ESPN Bet","62.5","-5","USC -5","","","",""
"401524062","USC","20","UCLA","38","Bovada","62.5","-5.0","USC -5.0","-12.0","65.5","-250","210"
"401524062","USC","20","UCLA","38","DraftKings","65.5","-6","USC -6","-12","","-218","180"
"401525554","Clemson","31","North Carolina","20","ESPN Bet","60.5","-7.5","Clemson -7.5","","","",""
"401525554","Clemson","31","North Carolina","20","Bovada","59.5","-8.0","Clemson -8.0","-10.5","58.5","-300","250"
"401525554","Clemson","31","North Carolina","20","DraftKings","58","-7.5","Clemson -7.5","-11","","-305","245"
"401531409","Charlotte","7","Rice","28","Bovada","46.5","1.0","Rice -1.0","1.5","47.0","105","-125"
"401531409","Charlotte","7","Rice","28","DraftKings","47.5","2","Rice -2","2","47.5","-102","-118"
"401531409","Charlotte","7","Rice","28","ESPN Bet","46.5","-0.5","Charlotte -0.5","","","",""
"401531431","Memphis","34","SMU","38","DraftKings","67.5","7.5","SMU -7.5","7.5","67.5","295","-375"
"401531431","Memphis","34","SMU","38","Bovada","64.5","9.5","SMU -9.5","7.5","67.0","270","-340"
"401531431","Memphis","34","SMU","38","ESPN Bet","64.5","9.5","SMU -9.5","","","",""
"401531917","Georgia Southern","17","Old Dominion","20","DraftKings","60.5","-7","Georgia Southern -7","-7","60.5","-225","185"
"401531917","Georgia Southern","17","Old Dominion","20","Bovada","62.5","-5.5","Georgia Southern -5.5","-7.0","62.0","-235","195"
"401531917","Georgia Southern","17","Old Dominion","20","ESPN Bet","61.5","-4.5","Georgia Southern -4.5","","","",""
"401540007","Wagner","3","Central Connecticut","17","William Hill (New Jersey)","43.5","2.5","Central Connecticut -2.5","","","",""
"401540023","Long Island University","0","Merrimack","39","William Hill (New Jersey)","40","-2.5","Long Island University -2.5","","","",""
"401544197","Yale","17","Pennsylvania","27","William Hill (New Jersey)","46","-6","Yale -6","","","",""
"401520416","Ole Miss","35","Louisiana Monroe","3","DraftKings","62","-37","Ole Miss -37","-37","62","-20000","3500"
"401520416","Ole Miss","35","Louisiana Monroe","3","Bovada","60.5","-36.0","Ole Miss -36.0","-36.5","61.5","",""
"401520416","Ole Miss","35","Louisiana Monroe","3","ESPN Bet","59.5","-35.5","Ole Miss -35.5","","","",""
"401525558","Miami","31","Louisville","38","Bovada","46.0","-1.0","Miami -1.0","2.0","46.5","-115","-105"
"401525558","Miami","31","Louisville","38","DraftKings","47.5","1.5","Louisville -1.5","1.5","47.5","-112","-108"
"401525558","Miami","31","Louisville","38","ESPN Bet","46.5","-1.5","Miami -1.5","","","",""
"401525555","Virginia","30","Duke","27","Bovada","45.5","3.0","Duke -3.0","3.5","47.0","150","-175"
"401525555","Virginia","30","Duke","27","DraftKings","48.5","4","Duke -4","4","48.5","120","-142"
"401520409","LSU","56","Georgia State","14","DraftKings","71.5","-30.5","LSU -30.5","-30.5","71.5","-10000","3000"
"401520409","LSU","56","Georgia State","14","Bovada","75.0","-32.0","LSU -32.0","-31.0","72.5","-20000","2400"
"401520409","LSU","56","Georgia State","14","ESPN Bet","73.5","-32.5","LSU -32.5","","","",""
"401525896","Kansas","27","Kansas State","31","ESPN Bet","59.5","7.5","Kansas State -7.5","","","",""
"401525896","Kansas","27","Kansas State","31","DraftKings","55.5","8","Kansas State -8","6","","225","-278"
"401525896","Kansas","27","Kansas State","31","Bovada","60.5","7.0","Kansas State -7.0","6.0","55.5","275","-350"
"401534854","Howard","27","Norfolk State","23","William Hill (New Jersey)","48","-10","Howard -10","","","",""
"401539974","Delaware State","7","South Carolina State","35","William Hill (New Jersey)","46.5","7","South Carolina State -7","","","",""
"401540015","Duquesne","38","St Francis (PA)","35","William Hill (New Jersey)","57.5","-3","Duquesne -3","","","",""
"401540052","Bucknell","18","Lehigh","27","William Hill (New Jersey)","47","-3","Bucknell -3","","","",""
